config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
5_Raw_Plus_Composite_And_Interaction,15,20,0.6586566660647267,0.4961325277315709,0.42295760082730094,0.6907730673316709,0.5374507227332457,0.34867860187553285,0.20957101295210911
5_Raw_Plus_Composite_And_Interaction,16,20,0.6648839764626123,0.5116147875970687,0.4397089397089397,0.7013850415512466,0.563249001331558,0.36061381074168797,0.20566511680316202
5_Raw_Plus_Composite_And_Interaction,17,20,0.6686722120998654,0.5199868978898916,0.4364611260053619,0.7087835965641452,0.5873015873015873,0.34726962457337884,0.20419223552062032
5_Raw_Plus_Composite_And_Interaction,18,20,0.6648112643391626,0.5086753537443958,0.4200626959247649,0.6924355777223608,0.5417789757412399,0.3430034129692833,0.20624769316265357
5_Raw_Plus_Composite_And_Interaction,19,20,0.6540031804825879,0.501432315315109,0.43012987012987014,0.6960376835688556,0.550531914893617,0.35294117647058826,0.20945786905921848
5_Raw_Plus_Composite_And_Interaction,20,20,0.6619060917720411,0.5072797856109019,0.44375,0.7040731504571903,0.570281124497992,0.3631713554987212,0.2069404250654614
5_Raw_Plus_Composite_And_Interaction,21,20,0.6698706814976978,0.5075486522088913,0.4437434279705573,0.7069252077562327,0.578875171467764,0.3597612958226769,0.2050339049951115
5_Raw_Plus_Composite_And_Interaction,22,20,0.6529507759358356,0.4999440453283166,0.42356687898089174,0.6990856192851206,0.5603932584269663,0.34044368600682595,0.20968149172828085
5_Raw_Plus_Composite_And_Interaction,23,20,0.6632917437514092,0.5117288991023287,0.43592436974789917,0.7024106400665004,0.5669398907103825,0.35409556313993173,0.20674506489306502
5_Raw_Plus_Composite_And_Interaction,24,20,0.6629001675632772,0.5039065196535932,0.452344152498712,0.7054585757827653,0.5716145833333334,0.3742540494458653,0.20736489495899427
5_Raw_Plus_Composite_And_Interaction,25,20,0.6697579081607655,0.5091775903203419,0.4284221525600836,0.6968689387642006,0.553306342780027,0.3495311167945439,0.20510726924900408
6_Raw_Plus_Composite_And_Missing,1,21,0.6545696653712778,0.4846073784470297,0.4296834457706279,0.695567867036011,0.5490716180371353,0.35294117647058826,0.21136774860839344
6_Raw_Plus_Composite_And_Missing,2,21,0.6730077474542779,0.5152273114559551,0.4385872430152873,0.7049044056525353,0.5737931034482758,0.35494880546075086,0.20394150711441783
